PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> python ratio.py
Enter the path to your image folder: Travel
Filename                       | Dimensions   | Exact Ratio  | Decimal
| 6.jpg | 10.jpg **(Portrait)** | 9.jpg **(Portrait)** |
| 8.jpg | 11.jpg **(Portrait)** | 12.jpg **(Portrait)** |
| 13.jpg | 17.jpg | 16.jpg |
| 14.jpg | 20.jpg | 19.jpg |
| 15.jpg | 23.jpg | 22.jpg |
| 18.jpg | 26.jpg | 25.jpg |
| 21.jpg | | |
| 24.jpg | | |
| 27.jpg | | |
| **7.33** | **7.00** | **6.91** |

**Taj Mahal** (difference 0.41)

| Column 1 | Column 2 | Column 3 |
|---|---|---|
| 1.jpg | 2.jpg | 3.jpg |
| 4.jpg | 7.jpg **(Portrait)** | 5.jpg |
| 6.jpg | 9.jpg **(Portrait)** | 8.jpg **(Portrait)** |
| 10.jpg | | 12.jpg |
| 11.jpg | | 14.jpg (Pano) |
| 13.jpg | | |
| **4.01** | **3.66** | **4.07** |

**Wildlife** (difference 0.09)

| Column 1 | Column 2 | Column 3 |
|---|---|---|
| 1.jpg | 2.jpg | 3.jpg |
| 4.jpg | 5.jpg | 6.jpg |
| 7.jpg | 8.jpg | 9.jpg |
| 12.jpg **(Portrait)** | 11.jpg **(Portrait)** | 10.jpg |
| 15.jpg | 13.jpg **(Portrait)** | 16.jpg |
| 17.jpg | 21.jpg **(Portrait)** | 14.jpg **(Portrait)** |
| 19.jpg | 22.jpg **(Portrait)** | 18.jpg |
| 23.jpg **(Portrait)** | 28.jpg | 20.jpg |
| 26.jpg | 31.jpg | 24.jpg |
| 29.jpg | 34.jpg **(Portrait)** | 25.jpg |
| 32.jpg | 45.jpg **(Portrait)** | 27.jpg |
| 35.jpg | 44.jpg | 30.jpg |
| 37.jpg | 46.jpg (Pano) | 33.jpg |
| 38.jpg | 49.jpg | 36.jpg (Square) |
| 41.jpg | | 40.jpg |
| 43.jpg **(Portrait)** | | 39.jpg **(Portrait)** |
| 47.jpg | | 42.jpg |
| | | 48.jpg |
| **13.48** | **13.57** | **13.50** |

**Landscape** (difference 0.04, nearly perfect)

| Column 1 | Column 2 | Column 3 |
|---|---|---|
| 1.jpg | 2.jpg | 3.jpg |
| 4.jpg | 5.jpg (Pano) | 9.jpg |
| 8.jpg | 10.jpg **(Portrait)** | 6.jpg (Pano) |
| 11.jpg | 13.jpg (Pano) | 7.jpg (Pano) |
| 14.jpg | 15.jpg **(Portrait)** | 12.jpg |
| 17.jpg | 19.jpg | 16.jpg **(Portrait)** |
| 18.jpg | 22.jpg | 20.jpg |
| 21.jpg (Pano) | 25.jpg | 23.jpg |
| 24.jpg | 28.jpg | 26.jpg |
| 27.jpg | 32.jpg | 29.jpg |
| 31.jpg (Pano) | 34.jpg | 33.jpg |
| 30.jpg **(Portrait)** | | 35.jpg |
| **8.46** | **8.47** | **8.43** |

**Notes for building it**

1. **Why some galleries aren't perfectly even.** In Theyyam, Holi and Taj Mahal, the leftover difference is smaller than a single landscape photo. With so few portraits, no arrangement gets closer without scrambling the order.
2. **Rows are reading order, not straight lines.** In a masonry layout each column stacks on its own, so a table "row" only shows which images sit near each other.
3. **Place images column by column.** CSS `column-count: 3` fills the first column top to bottom, then the next, which would ignore this plan. Use three separate column containers (for example, three flex-column `div`s) and put each column's images into its own container.
4. **Spacing between images adds height.** Every gap adds a little to a column, so a column with more images grows a bit more. In Holi, Column 1 has 11 images versus 8, so it will end up slightly taller than the numbers suggest. Keeping gaps small (8–12px) limits this.
5. **Numbering gaps.** Travel has no 23.jpg, and Theyyam jumps from 7 to 13. That may be intentional, but it's worth checking that no files went missing in the transfer.
